Metro,MetroID
"New York-Newark-Jersey City, NY-NJ-PA",35620
"Los Angeles-Long Beach-Anaheim, CA",31080
"Chicago-Naperville-Elgin, IL-IN-WI",16980
"Dallas-Fort Worth-Arlington, TX",19100
"Houston-The Woodlands-Sugar Land, TX",26420
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900
"Miami-Fort Lauderdale-West Palm Beach, FL",33100
"Atlanta-Sandy Springs-Roswell, GA",12060
"Boston-Cambridge-Newton, MA-NH",14460
"San Francisco-Oakland-Hayward, CA",41860
"Phoenix-Mesa-Scottsdale, AZ",38060
"Riverside-San Bernardino-Ontario, CA",40140
"Detroit-Warren-Dearborn, MI",19820
"Seattle-Tacoma-Bellevue, WA",42660
"Minneapolis-St. Paul-Bloomington, MN-WI",33460
"San Diego-Carlsbad, CA",41740
"Tampa-St. Petersburg-Clearwater, FL",45300
"St. Louis, MO-IL",41180
"Baltimore-Columbia-Towson, MD",12580
"Denver-Aurora-Lakewood, CO",19740
"Charlotte-Concord-Gastonia, NC-SC",16740
"Pittsburgh, PA",38300
"Portland-Vancouver-Hillsboro, OR-WA",38900
"San Antonio-New Braunfels, TX",41700
"Orlando-Kissimmee-Sanford, FL",36740
"Sacramento--Roseville--Arden-Arcade, CA",40900
"Cincinnati, OH-KY-IN",17140
"Las Vegas-Henderson-Paradise, NV",29820
"Kansas City, MO-KS",28140
"Cleveland-Elyria, OH",17460
"Columbus, OH",18140
"Indianapolis-Carmel-Anderson, IN",26900
"San Jose-Sunnyvale-Santa Clara, CA",41940
"Austin-Round Rock, TX",12420
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980
"Virginia Beach-Norfolk-Newport News, VA-NC",47260
"Providence-Warwick, RI-MA",39300
"Milwaukee-Waukesha-West Allis, WI",33340
"Jacksonville, FL",27260
"Memphis, TN-MS-AR",32820
"Oklahoma City, OK",36420
"Louisville/Jefferson County, KY-IN",31140
"Richmond, VA",40060
"New Orleans-Metairie, LA",35380
"Raleigh, NC",39580
"Hartford-West Hartford-East Hartford, CT",25540
"Salt Lake City, UT",41620
"Birmingham-Hoover, AL",13820
"Buffalo-Cheektowaga-Niagara Falls, NY",15380
"Rochester, NY",40380
"Grand Rapids-Wyoming, MI",24340
"Tucson, AZ",46060
"Urban Honolulu, HI",46520
"Tulsa, OK",46140
"Fresno, CA",23420
"Bridgeport-Stamford-Norwalk, CT",14860
"Worcester, MA-CT",49340
"Omaha-Council Bluffs, NE-IA",36540
"Albuquerque, NM",10740
"Albany-Schenectady-Troy, NY",10580
"Bakersfield, CA",12540
"Greenville-Anderson-Mauldin, SC",24860
"New Haven-Milford, CT",35300
"Knoxville, TN",28940
"Oxnard-Thousand Oaks-Ventura, CA",37100
"El Paso, TX",21340
"Allentown-Bethlehem-Easton, PA-NJ",10900
"McAllen-Edinburg-Mission, TX",32580
"Baton Rouge, LA",12940
"Dayton, OH",19380
"Columbia, SC",17900
"North Port-Sarasota-Bradenton, FL",35840
"Greensboro-High Point, NC",24660
"Charleston-North Charleston, SC",16700
"Little Rock-North Little Rock-Conway, AR",30780
"Stockton-Lodi, CA",44700
"Akron, OH",10420
"Colorado Springs, CO",17820
"Cape Coral-Fort Myers, FL",15980
"Boise City, ID",14260
"Syracuse, NY",45060
"Winston-Salem, NC",49180
"Wichita, KS",48620
"Lakeland-Winter Haven, FL",29460
"Madison, WI",31540
"Ogden-Clearfield, UT",36260
"Springfield, MA",44140
"Deltona-Daytona Beach-Ormond Beach, FL",19660
"Des Moines-West Des Moines, IA",19780
"Toledo, OH",45780
"Augusta-Richmond County, GA-SC",12260
"Jackson, MS",27140
"Provo-Orem, UT",39340
"Harrisburg-Carlisle, PA",25420
"Palm Bay-Melbourne-Titusville, FL",37340
"Scranton--Wilkes-Barre--Hazleton, PA",42540
"Youngstown-Warren-Boardman, OH-PA",49660
"Chattanooga, TN-GA",16860
"Spokane-Spokane Valley, WA",44060
"Durham-Chapel Hill, NC",20500
"Lancaster, PA",29540
"Modesto, CA",33700
"Portland-South Portland, ME",38860
"Fayetteville-Springdale-Rogers, AR-MO",22220
"Santa Rosa, CA",42220
"Lexington-Fayette, KY",30460
"Lafayette, LA",29180
"Pensacola-Ferry Pass-Brent, FL",37860
"Lansing-East Lansing, MI",29620
"Visalia-Porterville, CA",47300
"Springfield, MO",44180
"Corpus Christi, TX",18580
"Port St. Lucie, FL",38940
"Shreveport-Bossier City, LA",43340
"Reno, NV",39900
"Asheville, NC",11700
"York-Hanover, PA",49620
"Huntsville, AL",26620
"Santa Maria-Santa Barbara, CA",42200
"Salinas, CA",41500
"Vallejo-Fairfield, CA",46700
"Killeen-Temple, TX",28660
"Fort Wayne, IN",23060
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820
"Brownsville-Harlingen, TX",15180
"Mobile, AL",33660
"Reading, PA",39740
"Flint, MI",22420
"Beaumont-Port Arthur, TX",13140
"Salem, OR",41420
"Manchester-Nashua, NH",31700
"Canton-Massillon, OH",15940
"Anchorage, AK",11260
"Salisbury, MD-DE",41540
"Gulfport-Biloxi-Pascagoula, MS",25060
"Davenport-Moline-Rock Island, IA-IL",19340
"Peoria, IL",37900
"Fayetteville, NC",22180
"Tallahassee, FL",45220
"Montgomery, AL",33860
"Savannah, GA",42340
"Trenton, NJ",45940
"Hickory-Lenoir-Morganton, NC",25860
"Huntington-Ashland, WV-KY-OH",26580
"Eugene, OR",21660
"Ann Arbor, MI",11460
"Naples-Immokalee-Marco Island, FL",34940
"Rockford, IL",40420
"Ocala, FL",36100
"Kalamazoo-Portage, MI",28020
"Fort Collins, CO",22660
"Spartanburg, SC",43900
"South Bend-Mishawaka, IN-MI",43780
"Lincoln, NE",30700
"Evansville, IN-KY",21780
"Green Bay, WI",24580
"Boulder, CO",14500
"Roanoke, VA",40220
"Columbus, GA-AL",17980
"Kingsport-Bristol-Bristol, TN-VA",28700
"Lubbock, TX",31180
"Utica-Rome, NY",46540
"Fort Smith, AR-OK",22900
"Duluth, MN-WI",20260
"Erie, PA",21500
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020
"Greeley, CO",24540
"Clarksville, TN-KY",17300
"Kennewick-Richland, WA",28420
"Atlantic City-Hammonton, NJ",12100
"Gainesville, FL",23540
"Wilmington, NC",48900
"Norwich-New London, CT",35980
"Santa Cruz-Watsonville, CA",42100
"Olympia-Tumwater, WA",36500
"Laredo, TX",29700
"Merced, CA",32900
"Cedar Rapids, IA",16300
"Waco, TX",47380
"Amarillo, TX",11100
"Hagerstown-Martinsburg, MD-WV",25180
"Lynchburg, VA",31340
"Bremerton-Silverdale, WA",14740
"Crestview-Fort Walton Beach-Destin, FL",18880
